language,average-cld2,single-words-cld2,word-pairs-cld2,sentences-cld2,average-whatlang,single-words-whatlang,word-pairs-whatlang,sentences-whatlang,average-whichlang,single-words-whichlang,word-pairs-whichlang,sentences-whichlang,average-lingua-low,single-words-lingua-low,word-pairs-lingua-low,sentences-lingua-low,average-lingua-high,single-words-lingua-high,word-pairs-lingua-high,sentences-lingua-high
Acehnese,,,,,
Afrikaans,55,12,56,96,51,22,41,92,NaN,NaN,NaN,NaN,65,38,63,93,78,58,81,96
Ahom,,,,,
Akkadian,,,,,
AlbanianHistorical,,,,,
AlbanianTosk,,,,,
Amharic,,,,,
AncientGreek,,,,,
Angkola,,,,,
Arabic,66,19,81,99,93,88,92,99,100,100,100,100,92,88,95,94,96,96,99,94
ArabicEgyptian,,,,,
ArabicMesopotamian,,,,,
ArabicMoroccan,,,,,
ArabicNajdi,,,,,
ArabicNorthLevantine,,,,,
ArabicSouthernYemeni,,,,,
ArabicSouthLevantine,,,,,
ArabicTunisian,,,,,
Aramaic,,,,,
Armenian,100,100,100,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,100,100,100,100,100,100,100
Assamese,,,,,
Asturian,,,,,
Avestan,,,,,
Awadhi,,,,,
AymaraCentral,,,,,
AzerbaijaniNorth,,,,,
AzerbaijaniSouth,,,,,
Balinese,,,,,
Bambara,,,,,
Bamum,,,,,
Banjar,,,,,
Bantawa,,,,,
Bashkir,,,,,
Basque,61,22,69,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,68,58,77,69,75,71,85,70
Bassa,,,,,
Belarusian,75,42,87,98,91,81,94,99,NaN,NaN,NaN,NaN,94,85,97,99,96,91,99,99
Bemba,,,,,
Bengali,62,19,69,99,99,100,100,99,NaN,NaN,NaN,NaN,99,100,100,99,99,100,100,99
Berber,,,,,
Bhaiksuki,,,,,
Bhojpuri,,,,,
BishnupriyaManipuri,,,,,
Bokmal,NaN,NaN,NaN,NaN,49,23,43,80,NaN,NaN,NaN,NaN,50,27,47,75,57,38,58,76
Bosnian,18,4,15,36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29,23,29,35,33,29,34,38
Braille,,,,,
BuddhistMarchen,,,,,
Buginese,,,,,
Buhid,,,,,
Bulgarian,65,31,72,92,69,44,67,96,NaN,NaN,NaN,NaN,79,58,82,97,86,70,91,99
Burmese,,,,,
Carian,,,,,
Catalan,37,4,29,79,51,29,45,80,NaN,NaN,NaN,NaN,61,35,64,84,73,52,78,88
CaucasianAlbanian,,,,,
Cebuano,,,,,
Chakma,,,,,
Cham,,,,,
Cherokee,,,,,
Chhattisgarhi,,,,,
Chinese,33,NaN,2,98,100,100,100,100,97,93,98,100,33,NaN,NaN,99,81,60,84,99
ChineseCantonese,,,,,
ChineseMandarin,,,,,
ChineseTuhua,,,,,
Chokwe,,,,,
Chorasmian,,,,,
Coptic,,,,,
Cree,,,,,
CreoleHaitian,,,,,
Croatian,51,33,46,72,61,34,54,94,NaN,NaN,NaN,NaN,59,37,57,82,71,53,73,86
CyproMinoan,,,,,
Czech,73,50,79,90,63,42,65,82,NaN,NaN,NaN,NaN,74,55,78,90,80,65,84,91
Danish,59,26,56,94,54,31,46,84,NaN,NaN,NaN,NaN,70,45,70,95,80,61,83,97
Dari,,,,,
DinkaSouthwestern,,,,,
Dogri,,,,,
Dutch,47,10,41,90,47,22,37,82,73,53,70,98,64,37,63,91,76,55,81,93
Dyula,,,,,
Dzongkha,,,,,
EgyptianHieroglyphs,,,,,
Elymaic,,,,,
English,55,11,55,99,49,17,35,94,66,34,65,98,63,31,63,96,81,55,89,99
EnglishDuployan,,,,,
EnglishMormon,,,,,
EnglishPhonetic,,,,,
Esperanto,50,7,45,97,58,32,53,90,NaN,NaN,NaN,NaN,70,45,74,90,82,67,89,91
Estonian,65,23,73,99,67,43,62,96,NaN,NaN,NaN,NaN,81,63,87,92,89,80,94,92
Etruscan,,,,,
Ewe,,,,,
Faroese,,,,,
Fijian,,,,,
Finnish,77,43,89,99,76,53,78,98,NaN,NaN,NaN,NaN,84,77,92,83,89,89,95,83
Fon,,,,,
French,51,12,47,93,64,35,59,97,68,36,70,99,77,51,82,98,89,74,94,99
FrenchDuployan,,,,,
Friulian,,,,,
Fulani,,,,,
FulfuldeNigerian,,,,,
GaelicScottish,,,,,
Galician,,,,,
Ganda,61,23,62,98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,66,87,95,90,79,95,96
Gandhari,,,,,
Geez,,,,,
Georgian,100,100,100,100,99,100,100,99,NaN,NaN,NaN,NaN,99,100,100,99,99,100,100,99
German,63,26,66,98,69,44,66,98,79,55,82,99,79,57,84,97,88,74,94,97
Gondi,,,,,
Gothic,,,,,
Greek,100,100,100,100,99,100,100,99,NaN,NaN,NaN,NaN,99,100,100,99,99,100,100,99
Guarani,,,,,
Gujarati,99,99,100,100,99,100,100,99,NaN,NaN,NaN,NaN,99,100,100,99,99,100,100,99
Gurung,,,,,
Hanunoo,,,,,
Hausa,,,,,
Hebrew,NaN,NaN,NaN,NaN,95,92,95,99,NaN,NaN,NaN,NaN,99,100,100,99,99,100,100,99
Hindi,76,55,75,99,68,54,54,96,100,100,100,100,72,62,64,90,74,63,65,92
Hittite,,,,,
Hmong,,,,,
Ho,,,,,
Hungarian,75,40,85,99,72,49,70,98,NaN,NaN,NaN,NaN,81,73,88,82,85,82,93,82
Icelandic,65,25,73,99,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,77,93,98,93,85,96,98
Igbo,,,,,
Ilocano,,,,,
Indonesian,62,36,62,88,69,42,69,95,NaN,NaN,NaN,NaN,47,25,46,71,61,39,61,82
Inuktitut,,,,,
Irish,66,29,77,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72,66,85,66,79,80,91,66
Italian,44,6,32,93,56,24,48,96,85,68,87,99,57,43,74,54,71,69,91,55
Japanese,33,NaN,NaN,100,99,98,100,100,99,98,100,99,100,100,100,100,100,100,100,100
Javanese,,,,,
Jingpho,,,,,
Kabiye,,,,,
Kabuverdianu,,,,,
Kabyle,,,,,
Kamba,,,,,
Kannada,,,,,
KanuriCentral,,,,,
Karo,,,,,
Kashmiri,,,,,
KayahLi,,,,,
Kazakh,76,43,87,99,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,96,90,98,99,96,90,98,99
Khitan,,,,,
Khmer,,,,,
Khoja,,,,,
Kikongo,,,,,
Kikuyu,,,,,
Kimbundu,,,,,
Kinyarwanda,,,,,
Korean,99,100,100,99,99,100,100,99,99,100,100,99,99,100,100,99,99,100,100,99
Kurdish,,,,,
KurdishCentral,,,,,
KurdishNorthern,,,,,
Kyrgyz,,,,,
Lao,,,,,
Latgalian,,,,,
Latin,46,8,42,88,55,36,51,79,NaN,NaN,NaN,NaN,70,51,77,81,82,72,92,83
Latvian,72,33,84,98,84,70,86,97,NaN,NaN,NaN,NaN,88,75,92,98,93,84,97,99
Lepcha,,,,,
Ligurian,,,,,
Limbu,,,,,
Limburgish,,,,,
Lingala,,,,,
Lisu,,,,,
Lithuanian,70,29,81,99,79,59,81,97,NaN,NaN,NaN,NaN,90,77,94,98,94,86,98,99
Lombard,,,,,
LubaKasai,,,,,
Luo,,,,,
Luwian,,,,,
Luxembourgish,,,,,
Lycian,,,,,
Lydian,,,,,
Macedonian,60,27,69,83,66,43,60,96,NaN,NaN,NaN,NaN,73,52,70,97,83,66,86,99
Magahi,,,,,
Maithili,,,,,
Makasar,,,,,
Makassarese,,,,,
Malay,17,9,21,23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30,22,36,34,30,26,38,26
Malayalam,,,,,
MalayStandard,,,,,
MaldivianDhivehi,,,,,
MalgasyPlateau,,,,,
Maltese,,,,,
Mandaic,,,,,
Mandailing,,,,,
Mande,,,,,
ManipuriMeetei,,,,,
Maori,60,12,71,98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79,64,82,90,87,84,86,90
Marathi,83,65,86,98,78,59,80,94,NaN,NaN,NaN,NaN,79,66,78,94,82,69,82,95
Marwari,,,,,
Medefaidrin,,,,,
Meitei,,,,,
Mende,,,,,
Meroitic,,,,,
MiddlePersian,,,,,
Minangkabau,,,,,
Minoan,,,,,
Mizo,,,,,
MongolianHalh,,,,,
Mossi,,,,,
Mro,,,,,
Mundari,,,,,
MycenaeanGreek,,,,,
Nepali,,,,,
Newari,,,,,
NorthernThai,,,,,
Nuer,,,,,
Nyanja,,,,,
Nynorsk,54,18,50,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,51,25,49,79,64,41,66,86
Occitan,,,,,
Odia,,,,,
Ojibwe,,,,,
OldChurchSlavonic,,,,,
OldEnglish,,,,,
OldHungarian,,,,,
OldIrish,,,,,
OldJavanese,,,,,
OldKomi,,,,,
OldNorse,,,,,
OldNorthArabian,,,,,
OldPersian,,,,,
OldSogdian,,,,,
OldSouthArabian,,,,,
OldTurkic,,,,,
OldUyghur,,,,,
Oromo,,,,,
OromoWestCentral,,,,,
Osage,,,,,
Oscan,,,,,
Pakpak,,,,,
Pangasinan,,,,,
Papiamento,,,,,
Parthian,,,,,
Pashto,,,,,
PastoSouthern,,,,,
Persian,61,12,72,99,72,49,68,99,NaN,NaN,NaN,NaN,77,61,80,90,87,77,93,92
PersianWestern,,,,,
Phoenician,,,,,
Polish,74,37,86,99,81,64,81,99,NaN,NaN,NaN,NaN,91,78,96,98,94,85,98,98
Portuguese,53,19,47,94,60,30,52,97,70,42,70,99,70,43,70,97,81,58,85,98
Prakrit,,,,,
Pular,,,,,
PunjabiEastern,,,,,
QuechuaAyacucho,,,,,
Rejang,,,,,
Rohingya,,,,,
Romanian,53,11,53,96,66,44,62,90,NaN,NaN,NaN,NaN,71,49,76,88,83,67,90,91
Rundi,,,,,
Russian,60,26,67,86,67,51,66,84,100,100,100,100,83,65,87,95,89,77,94,98
Samoan,,,,,
Sango,,,,,
Sanskrit,,,,,
Santali,,,,,
Saraiki,,,,,
Sardinian,,,,,
Saurashtra,,,,,
Sepedi,,,,,
Serbian,68,29,77,99,66,46,63,89,NaN,NaN,NaN,NaN,80,63,82,95,87,74,90,99
Sesotho,53,12,54,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,64,43,72,78,77,65,87,80
Shan,,,,,
Shona,64,23,71,99,76,55,76,98,NaN,NaN,NaN,NaN,81,60,87,95,89,78,95,95
Sicilian,,,,,
Signlanguages,,,,,
Silesian,,,,,
Simalungun,,,,,
Sindhi,,,,,
Sinhala,,,,,
Slovak,71,37,75,99,64,40,60,93,NaN,NaN,NaN,NaN,74,51,80,90,81,63,89,91
Slovene,47,8,42,92,52,29,43,83,NaN,NaN,NaN,NaN,64,40,68,85,78,61,86,89
Sogdian,,,,,
Somali,69,26,83,99,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,68,91,81,86,82,95,81
Sora,,,,,
Spanish,43,12,33,84,47,18,32,91,62,35,54,98,57,27,50,94,70,43,68,97
Sumerian,,,,,
Sundanese,,,,,
Sunuwar,,,,,
Swahili,57,15,58,97,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,69,46,71,91,79,60,84,92
Swati,,,,,
Swedish,53,14,52,93,61,34,57,92,71,47,70,97,72,44,75,96,83,64,88,98
Sylheti,,,,,
Syriac,,,,,
Tagalog,50,9,44,96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,64,36,67,88,75,52,83,90
Tagbanwa,,,,,
TaiDam,,,,,
TaiDon,,,,,
TaiLe,,,,,
TaiLue,,,,,
Tajik,,,,,
Tamasheq,,,,,
TamazightCentralAtlas,,,,,
Tamil,100,100,100,100,100,100,100,100,NaN,NaN,NaN,NaN,100,100,100,100,100,100,100,100
Tangsa,,,,,
Tangut,,,,,
Tatar,,,,,
TatarCrimean,,,,,
Telugu,100,100,100,100,99,100,100,99,NaN,NaN,NaN,NaN,99,100,100,99,99,100,100,99
Thai,99,100,100,99,99,100,100,99,NaN,NaN,NaN,NaN,99,100,100,99,99,100,100,99
Tibetan,,,,,
Tigrinya,,,,,
Toba,,,,,
TokPisin,,,,,
Toto,,,,,
Tsonga,61,19,67,97,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,68,49,75,79,78,66,88,80
Tswana,56,17,57,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,67,44,73,83,79,65,87,86
Tulu,,,,,
Tumbuka,,,,,
Turkish,66,30,71,97,63,39,59,91,92,83,94,99,70,67,80,63,74,76,84,63
Turkmen,,,,,
Twi,,,,,
Ugaritic,,,,,
Ukrainian,77,45,87,98,85,69,88,98,NaN,NaN,NaN,NaN,90,77,94,98,93,85,97,98
Umbrian,,,,,
Umbundu,,,,,
Urdu,61,8,75,99,68,45,63,95,NaN,NaN,NaN,NaN,76,64,78,86,87,80,94,87
Uyghur,,,,,
UzbekNorthern,,,,,
Vai,,,,,
Venetian,,,,,
Vietnamese,63,NaN,89,99,91,75,97,99,85,64,91,99,89,76,93,99,91,80,94,99
Wancho,,,,,
Waray,,,,,
Welsh,72,34,85,98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,62,87,32,68,78,93,32
Wolof,,,,,
Xhosa,71,45,70,97,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,47,65,69,72,62,80,73
Yi,,,,,
Yiddish,,,,,
YiddishEastern,,,,,
Yoruba,36,1,22,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,53,35,54,69,62,49,67,70
ZoLanguages,,,,,
Zulu,54,18,51,93,76,53,77,99,NaN,NaN,NaN,NaN,72,47,74,95,81,62,84,97
